Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
0.0,9.07677555084229,4.56323719024658,0.357060045003891
0.5,9.07706832885742,4.59067726135254,0.362419039011002
1,9.07716083526611,4.6614842414856,0.376112639904022
1.5,9.07569122314453,4.7505669593811,0.393639266490936
2,9.07126140594482,4.8273286819458,0.410153567790985
2.5,9.06286430358887,4.8628945350647,0.421511203050613
3,9.0502233505249,4.83703422546387,0.425027042627335
3.5,9.03407955169678,4.74312448501587,0.41977059841156
4,9.01616859436035,4.58987617492676,0.406379371881485
4.5,8.99895572662354,4.39942693710327,0.38667431473732
5,8.98523426055908,4.20250272750854,0.363169580698013
5.5,8.97762966156006,4.03201961517334,0.338601261377335
6,8.97815895080566,3.91666626930237,0.315543919801712
6.5,8.98788356781006,3.87572813034058,0.296057730913162
7,9.00662803649902,3.91593480110169,0.281475991010666
7.5,9.03293323516846,4.03065919876099,0.272320002317429
8,9.06419086456299,4.20148849487305,0.268295168876648
8.5,9.09695816040039,4.40189838409424,0.268427938222885
9,9.12748718261719,4.6023530960083,0.271194010972977
9.5,9.15234470367432,4.77567672729492,0.274714112281799
10,9.16897678375244,4.90145874023438,0.277035415172577
10.5,9.17603015899658,4.96858501434326,0.276488661766052
11,9.17330646514893,4.97572565078735,0.272063046693802
11.5,9.16140937805176,4.93005514144897,0.26358950138092
12,9.1413049697876,4.84488391876221,0.251715272665024
12.5,9.11406421661377,4.73685598373413,0.237596824765205
13,9.08098983764648,4.6231746673584,0.222585931420326
13.5,9.04387283325195,4.51922273635864,0.208030819892883
14,9.00511932373047,4.43649005889893,0.195119276642799
14.5,8.96759986877442,4.38111257553101,0.184715703129768
15,8.93427085876465,4.3537917137146,0.177231505513191
15.5,8.90783309936523,4.35107374191284,0.172541499137878
16,8.8905611038208,4.36715936660767,0.169956967234612
16.5,8.88427734375,4.39579391479492,0.168372765183449
17,8.89027786254883,4.43182754516602,0.16651563346386
17.5,8.90922164916992,4.47213745117188,0.163238391280174
18,8.94094276428223,4.51559114456177,0.157685086131096
18.5,8.98425197601318,4.56207132339478,0.149395138025284
19,9.03673458099365,4.61091661453247,0.138316944241524
19.5,9.09468460083008,4.65954160690308,0.124869495630264
20,9.15320110321045,4.70295381546021,0.109828010201454
20.5,9.20658206939697,4.73467111587524,9.41893458366394E-02
21,9.24906635284424,4.74840021133423,7.89559707045555E-02
21.5,9.27570152282715,4.73937940597534,0.065025694668293
22,9.2830696105957,4.70492458343506,5.30594997107983E-02
22.5,9.26971340179443,4.64454698562622,4.34513576328754E-02
23,9.23626041412354,4.56051158905029,3.63711901009083E-02
23.5,9.18526458740234,4.45871210098267,3.17701101303101E-02
24,9.12091732025146,4.34898900985718,0.029293704777956
24.5,9.04860019683838,4.24451541900635,2.83466689288616E-02
25,8.97438812255859,4.16025161743164,2.81536523252726E-02
25.5,8.90459442138672,4.11088132858276,2.79217381030321E-02
26,8.84530353546143,4.1086163520813,2.69123967736959E-02
26.5,8.80200958251953,4.16122055053711,2.45126578956842E-02
27,8.77926921844482,4.2702898979187,2.01732944697142E-02
27.5,8.78034496307373,4.42999839782715,1.34340403601527E-02
28,8.80684185028076,4.62663984298706,4.05140966176987E-03
28.5,8.85823154449463,4.83920288085938,-7.88947101682425E-03
29,8.93146800994873,5.04108142852783,-2.19499096274376E-02
29.5,9.02073097229004,5.20307731628418,-3.74872833490372E-02
30,9.11761569976807,5.29760074615479,-5.38168735802174E-02
30.5,9.21180152893066,5.30319118499756,-7.02385604381561E-02
31,9.29227447509766,5.20834064483643,-8.60387086868286E-02
